index,parentObjectID,childObjectID,relationship
23865,41623,41624,separable
23876,164737,125317,separable
23890,164864,131057,separable
23911,206125,37633,separable
23958,1154,1155,separable
23965,143712,150306,inseparable
23990,106386,106387,inseparable
24019,54192,54193,inseparable
24043,94956,94957,inseparable
24061,69243,69244,inseparable
24075,76174,76175,inseparable
24089,123151,124435,separable
24097,123179,124457,separable
24124,93054,93055,inseparable
24126,162307,162867,inseparable
24158,98220,98221,inseparable
24168,58192,58193,inseparable
24202,71378,71379,inseparable
24215,74247,74248,inseparable
24217,63156,63157,inseparable
24258,130850,130851,inseparable
24316,122628,144492,inseparable
24332,10,282,separable
24343,141599,120709,separable
24366,66485,66486,inseparable
24383,39979,39980,inseparable
24474,56587,56588,inseparable
24520,142946,149642,inseparable
24589,57049,57050,inseparable
24633,197353,206582,inseparable
