objectID,dimensionType,dimension,unitName
61382,height,81.3,centimeters
66405,width,65.0,centimeters
66405,height,101.0,centimeters
66408,width,63.9,centimeters
66408,height,54.1,centimeters
66413,width,23.2,centimeters
66413,height,53.3,centimeters
66420,width,58.9,centimeters
66420,height,97.1,centimeters
66421,width,28.1,centimeters
66421,height,17.6,centimeters
67436,width,67.3,centimeters
67436,height,97.5,centimeters
67494,width,108.0,centimeters
67494,height,164.2,centimeters
67499,width,207.8,centimeters
67499,height,247.3,centimeters
67504,width,114.3,centimeters
67504,height,267.0,centimeters
67506,width,207.0,centimeters
67506,height,242.9,centimeters
67507,width,142.6,centimeters
67507,height,175.6,centimeters
67513,width,171.7,centimeters
67513,height,204.2,centimeters
72324,width,58.4,centimeters
72324,height,66.0,centimeters
74991,width,36.0,centimeters
74991,height,27.0,centimeters
75023,width,102.0,centimeters
75023,height,131.0,centimeters
89684,width,32.5,centimeters
89684,height,22.5,centimeters
93046,width,73.03,centimeters
93046,height,59.69,centimeters
93047,width,24.92,centimeters
93047,height,17.78,centimeters
96688,width,243.68173739999997,centimeters
96688,height,143.5,centimeters
97063,width,104.4,centimeters
97063,height,211.2,centimeters
102150,height,92.07518415,centimeters
102150,width,92.07518415,centimeters
102627,width,54.0,centimeters
102627,height,41.0,centimeters
106380,width,64.77,centimeters
106380,height,53.97,centimeters
106381,width,54.29,centimeters
106381,height,65.09,centimeters
110278,width,16.51,centimeters
110278,height,10.8,centimeters
110279,width,23.2,centimeters
110279,height,15.6,centimeters
164917,height,129.54025910000001,centimeters
164917,width,160.02032,centimeters
164918,height,26.03505207,centimeters
164918,width,40.00508001,centimeters
166427,height,74.9,centimeters
166427,width,125.7,centimeters
166430,height,64.8,centimeters
166430,width,76.2,centimeters
166461,height,39.52882906,centimeters
166461,width,57.94386589,centimeters
166467,height,76.5,centimeters
166467,width,102.6,centimeters
435,width,73.8,centimeters
435,height,97.8,centimeters
309,width,40.0,centimeters
309,height,48.0,centimeters
4,height,194.6,centimeters
4,width,80.0,centimeters
5,width,45.2,centimeters
5,height,60.7,centimeters
3,height,204.0,centimeters
3,width,80.0,centimeters
109,width,102.0,centimeters
