parentObjectID,childObjectID,relationship
74221,74222,inseparable
218993,221424,separable
122968,144515,inseparable
182229,206670,inseparable
143760,151232,inseparable
134284,134285,inseparable
122519,144482,inseparable
218993,221437,separable
218993,221423,separable
66481,66482,inseparable
123178,124463,separable
60784,153335,inseparable
98222,98223,inseparable
45989,45990,inseparable
98212,98213,inseparable
76161,76162,inseparable
66561,66562,inseparable
11302,11303,inseparable
66557,66558,inseparable
124424,124427,separable
67474,67475,inseparable
157768,157776,inseparable
76141,76142,inseparable
123151,124432,separable
77219,77220,separable
67931,67932,inseparable
132010,132011,inseparable
69232,69233,inseparable
56379,56380,inseparable
136153,136154,inseparable
36875,36876,inseparable
84666,84667,inseparable
71113,71114,inseparable
51439,51440,inseparable
50887,50888,inseparable
68782,68783,inseparable
184350,206614,inseparable
143702,151241,inseparable
111607,111608,inseparable
74192,74193,inseparable
120633,120634,inseparable
74978,74981,inseparable
123179,124458,separable
7183,7184,inseparable
67552,67553,inseparable
139096,159751,inseparable
164740,110071,separable
75753,75754,inseparable
68697,68698,inseparable
36707,36708,inseparable
111618,111619,inseparable
122636,144494,inseparable
68954,68955,inseparable
102628,102629,inseparable
214226,214227,separable
67573,67574,inseparable
77809,153275,inseparable
69219,69220,inseparable
75293,133782,separable
164738,116406,separable
116712,116713,inseparable
206122,2,separable
121968,121969,inseparable
68875,68876,inseparable
106704,106706,separable
122848,144505,inseparable
141591,120784,separable
32037,32038,inseparable
127765,127766,inseparable
141601,120705,separable
73454,73455,inseparable
122532,144485,inseparable
206071,41588,separable
117751,117752,inseparable
127357,127358,inseparable
164736,112218,separable
154517,159486,inseparable
74235,74236,inseparable
77219,77221,separable
108663,108664,inseparable
95318,95319,inseparable
67554,67555,inseparable
121964,121965,inseparable
74205,74206,inseparable
206585,210477,separable
124955,124956,inseparable
206122,4,separable
68952,68953,inseparable
11305,11306,inseparable
139104,139105,inseparable
68878,68879,inseparable
67538,67539,inseparable
41633,41635,separable
124424,124425,separable
180021,206650,inseparable
102628,102630,inseparable
122926,144513,inseparable
68583,68584,inseparable
218993,221420,separable
55288,55289,inseparable
141580,120700,separable
74978,74980,inseparable
68788,68789,inseparable
169256,64490,separable
98293,105875,separable
173554,211358,inseparable
76104,76105,inseparable
79417,79418,inseparable
121949,144449,inseparable
206071,41586,separable
41641,41642,separable
66553,66555,inseparable
61449,61450,inseparable
69099,69100,inseparable
74257,74258,inseparable
68727,68728,inseparable
138786,142971,inseparable
71563,71564,inseparable
141601,120704,separable
122477,144479,inseparable
69155,69156,inseparable
77433,77434,inseparable
129322,144477,inseparable
68580,68581,inseparable
204932,403,separable
11500,11501,inseparable
79412,79413,inseparable
184289,206640,inseparable
93006,93007,inseparable
182227,206668,inseparable
4060,4061,inseparable
196206,206726,inseparable
92131,92132,inseparable
68692,68693,inseparable
69018,69019,inseparable
111637,140098,separable
46835,46836,inseparable
169173,205086,inseparable
206071,41587,separable
57458,57459,inseparable
164736,116284,separable
98224,98225,inseparable
65765,65766,inseparable
94478,94479,inseparable
73861,73862,inseparable
34691,34692,inseparable
112850,112851,inseparable
218993,221428,separable
60788,60789,inseparable
128730,144462,inseparable
63001,63002,inseparable
36875,36878,inseparable
39716,39717,inseparable
69101,69102,inseparable
122705,144496,inseparable
206126,7,separable
74978,74982,inseparable
74209,74210,inseparable
206124,892,separable
141579,120702,separable
204739,213050,inseparable
112456,112457,inseparable
77439,77440,inseparable
76041,76042,inseparable
69095,69096,inseparable
141607,120691,separable
107543,107544,inseparable
164864,129857,separable
73509,73510,inseparable
4055,4056,inseparable
143700,151240,inseparable
74552,74553,inseparable
184285,209285,inseparable
122774,144500,inseparable
93008,93009,inseparable
106704,106705,separable
143927,144856,inseparable
76176,76177,inseparable
123178,124460,separable
134397,134398,inseparable
194711,209287,inseparable
68574,68575,inseparable
159424,167944,inseparable
218993,221431,separable
57126,57127,inseparable
123150,124441,separable
60763,60764,inseparable
67543,67544,inseparable
74219,74220,inseparable
69090,69091,inseparable
74255,74256,inseparable
36694,36696,inseparable
122524,144484,inseparable
63088,63089,inseparable
143654,151237,inseparable
218993,221421,separable
169256,64491,separable
206072,198423,separable
8949,8950,inseparable
74251,74252,inseparable
182235,206518,inseparable
50668,50669,inseparable
63032,63033,inseparable
122902,144510,inseparable
142536,163739,inseparable
36711,36713,inseparable
133627,149596,inseparable
143762,152256,inseparable
133678,133682,separable
123151,124431,separable
111873,111874,inseparable
123152,124419,separable
198388,205085,inseparable
36698,36700,inseparable
106704,106709,separable
92073,92074,inseparable
204932,402,separable
76130,76131,inseparable
68824,68825,inseparable
74223,74224,inseparable
139290,159867,inseparable
197326,213036,separable
36703,36705,inseparable
67584,67585,inseparable
11310,144446,inseparable
75934,75935,inseparable
75786,75787,inseparable
68857,68858,inseparable
122371,144467,inseparable
134399,134400,inseparable
74201,74202,inseparable
68820,68821,inseparable
131362,144452,inseparable
51441,51442,inseparable
67361,67362,inseparable
94973,144447,inseparable
72062,72063,inseparable
74978,74986,inseparable
74199,74200,inseparable
74165,74166,inseparable
69138,69139,inseparable
76126,76127,inseparable
123152,124416,separable
159417,167942,inseparable
122595,144489,inseparable
41641,41643,separable
40008,40009,inseparable
122773,144499,inseparable
66567,66568,inseparable
122971,144517,inseparable
67535,67536,inseparable
39977,39978,inseparable
124620,124621,inseparable
123179,124456,separable
107158,107159,inseparable
69236,69237,inseparable
159405,167940,inseparable
93924,93925,inseparable
133708,144545,inseparable
68659,68660,inseparable
11308,144448,inseparable
92116,92117,inseparable
122867,144506,inseparable
36698,36699,inseparable
122868,144508,inseparable
124424,124426,separable
74213,74214,inseparable
122578,144488,inseparable
53111,53112,inseparable
50724,50725,inseparable
218993,221426,separable
108229,108230,inseparable
164864,131056,separable
123150,124439,separable
141579,120703,separable
67580,67581,inseparable
184115,206551,inseparable
123152,124417,separable
4867,4868,inseparable
53993,53994,inseparable
63608,63610,inseparable
206125,37634,separable
164864,131055,separable
122631,144493,inseparable
123179,124455,separable
131513,131514,inseparable
142534,163730,inseparable
206585,210481,separable
68997,68998,inseparable
4075,4076,inseparable
143762,152253,inseparable
134395,134396,inseparable
56283,56284,inseparable
74263,74264,inseparable
73458,73459,inseparable
164869,121481,separable
112462,112463,inseparable
122809,144501,inseparable
76194,76195,inseparable
68873,68874,inseparable
110676,110677,inseparable
69269,69270,inseparable
196335,206495,inseparable
103451,95747,separable
67570,67571,inseparable
198128,206588,inseparable
67351,67352,inseparable
73828,73829,inseparable
142854,210459,inseparable
169091,203012,separable
57428,57429,separable
108227,108228,inseparable
76144,76145,inseparable
69108,69109,inseparable
111463,111464,inseparable
107303,107304,inseparable
73852,73853,inseparable
135413,135414,inseparable
218993,221433,separable
133587,144532,inseparable
66553,66554,inseparable
194451,180666,separable
74095,74096,inseparable
112467,112468,inseparable
106730,106731,inseparable
142851,210087,inseparable
169463,212344,inseparable
122406,144471,inseparable
184266,214924,inseparable
68867,68868,inseparable
218993,221440,separable
122345,144465,inseparable
46959,46960,inseparable
39497,39498,inseparable
164740,110072,separable
130844,130845,inseparable
124424,123149,separable
74203,74204,inseparable
122408,144472,inseparable
123152,124415,separable
